l1,subject,list,context,mat_verb,wh,emb_verb,response
,11284,magenta,maf,know,where,store,0
,11479,magenta,maf,know,where,store,0
EN,12001,magenta,maf,know,where,store,0
EN,10567,magenta,maf,know,where,store,0
,11593,magenta,maf,know,where,store,0
,11893,magenta,maf,know,where,store,0
,10387,magenta,maf,know,where,store,1
EN,11887,magenta,maf,know,where,store,0
EN,11839,magenta,maf,know,where,store,0
,11326,magenta,maf,know,where,store,0
,10030,magenta,maf,know,where,store,0
,10486,magenta,maf,know,where,store,0
EN,10984,magenta,maf,know,where,store,0
,11437,magenta,maf,know,where,store,0
EN,10576,magenta,maf,know,where,store,0
,11410,magenta,maf,know,where,sell,0
EN,10495,magenta,maf,know,where,sell,0
EN,10327,magenta,maf,know,where,sell,0
EN,10762,magenta,maf,know,where,sell,0
EN,11101,magenta,maf,know,where,sell,0
,11299,magenta,maf,know,where,sell,0
EN,11821,magenta,maf,know,where,sell,0
,11290,magenta,maf,know,where,sell,0
,11254,magenta,maf,know,where,sell,0
,11491,magenta,maf,know,where,sell,0
EN,10942,magenta,maf,know,where,sell,0
,11284,magenta,maf,know,where,sell,0
,11479,magenta,maf,know,where,sell,0
EN,12001,magenta,maf,know,where,sell,0
EN,10567,magenta,maf,know,where,sell,0
,11593,magenta,maf,know,where,sell,0
,11893,magenta,maf,know,where,sell,0
,10387,magenta,maf,know,where,sell,0
EN,11887,magenta,maf,know,where,sell,0
EN,11839,magenta,maf,know,where,sell,0
,11326,magenta,maf,know,where,sell,0
,10030,magenta,maf,know,where,sell,0
,10486,magenta,maf,know,where,sell,0
EN,10984,magenta,maf,know,where,sell,0
,11437,magenta,maf,know,where,sell,1
EN,10576,magenta,maf,know,where,sell,0
,10540,olive,mat,know,where,locate,1
,11434,olive,mat,know,where,locate,0
,10261,olive,mat,know,where,locate,1
,11383,olive,mat,know,where,locate,1
EN,11005,olive,mat,know,where,locate,1
,10417,olive,mat,know,where,locate,1
,3229,olive,mat,know,where,locate,1
EN,10969,olive,mat,know,where,locate,1
,10753,olive,mat,know,where,locate,1
EN,10921,olive,mat,know,where,locate,1
,10945,olive,mat,know,where,locate,1
,11098,olive,mat,know,where,locate,1
EN,10051,olive,mat,know,where,locate,1
EN,10063,olive,mat,know,where,locate,1
EN,11014,olive,mat,know,where,locate,0
,11275,olive,mat,know,where,locate,1
EN,10660,olive,mat,know,where,locate,1
EN,10933,olive,mat,know,where,locate,1
EN,11518,olive,mat,know,where,locate,1
EN,10570,olive,mat,know,where,locate,1
EN,11068,olive,mat,know,where,locate,1
EN,10987,olive,mat,know,where,locate,1
EN,10297,olive,mat,know,where,locate,0
EN,10960,olive,mat,know,where,locate,1
EN,10078,olive,mat,know,where,locate,1
EN,10402,olive,mat,know,where,locate,1
,10540,olive,mat,know,where,display,1
,11434,olive,mat,know,where,display,1
,10261,olive,mat,know,where,display,1
,11383,olive,mat,know,where,display,1
EN,11005,olive,mat,know,where,display,0
,10417,olive,mat,know,where,display,0
,3229,olive,mat,know,where,display,1
EN,10969,olive,mat,know,where,display,1
,10753,olive,mat,know,where,display,0
EN,10921,olive,mat,know,where,display,1
,10945,olive,mat,know,where,display,0
,11098,olive,mat,know,where,display,1
EN,10051,olive,mat,know,where,display,1
EN,10063,olive,mat,know,where,display,1
EN,11014,olive,mat,know,where,display,0
,11275,olive,mat,know,where,display,1
EN,10660,olive,mat,know,where,display,1
EN,10933,olive,mat,know,where,display,1
EN,11518,olive,mat,know,where,display,1
EN,10570,olive,mat,know,where,display,1
EN,11068,olive,mat,know,where,display,1
EN,10987,olive,mat,know,where,display,1
EN,10297,olive,mat,know,where,display,0
EN,10960,olive,mat,know,where,display,1
EN,10078,olive,mat,know,where,display,1
EN,10402,olive,mat,know,where,display,1
,11410,magenta,mat,know,where,view,1
EN,10495,magenta,mat,know,where,view,1
EN,10327,magenta,mat,know,where,view,1
EN,10762,magenta,mat,know,where,view,0
EN,11101,magenta,mat,know,where,view,0
,11299,magenta,mat,know,where,view,1
EN,11821,magenta,mat,know,where,view,1
,11290,magenta,mat,know,where,view,1
,11254,magenta,mat,know,where,view,1
,11491,magenta,mat,know,where,view,1
EN,10942,magenta,mat,know,where,view,1
,11284,magenta,mat,know,where,view,1
,11479,magenta,mat,know,where,view,1
EN,12001,magenta,mat,know,where,view,1
EN,10567,magenta,mat,know,where,view,1
,11593,magenta,mat,know,where,view,1
,11893,magenta,mat,know,where,view,0
,10387,magenta,mat,know,where,view,1
EN,11887,magenta,mat,know,where,view,1
EN,11839,magenta,mat,know,where,view,1
,11326,magenta,mat,know,where,view,1
,10030,magenta,mat,know,where,view,1
,10486,magenta,mat,know,where,view,1
EN,10984,magenta,mat,know,where,view,1
,11437,magenta,mat,know,where,view,0
EN,10576,magenta,mat,know,where,view,1
,11410,magenta,mat,know,where,bury,1
EN,10495,magenta,mat,know,where,bury,1
EN,10327,magenta,mat,know,where,bury,1
EN,10762,magenta,mat,know,where,bury,0
EN,11101,magenta,mat,know,where,bury,1
,11299,magenta,mat,know,where,bury,1
,11290,magenta,mat,know,where,bury,1
,11254,magenta,mat,know,where,bury,1
,11491,magenta,mat,know,where,bury,1
EN,10942,magenta,mat,know,where,bury,1
,11284,magenta,mat,know,where,bury,1
,11479,magenta,mat,know,where,bury,1
EN,12001,magenta,mat,know,where,bury,1
EN,10567,magenta,mat,know,where,bury,1
,11593,magenta,mat,know,where,bury,1
,11893,magenta,mat,know,where,bury,1
,10387,magenta,mat,know,where,bury,1
EN,11887,magenta,mat,know,where,bury,1
EN,11839,magenta,mat,know,where,bury,1
,11326,magenta,mat,know,where,bury,1
,10030,magenta,mat,know,where,bury,1
,10486,magenta,mat,know,where,bury,1
EN,10984,magenta,mat,know,where,bury,1
,11437,magenta,mat,know,where,bury,0
EN,10576,magenta,mat,know,where,bury,1
,10540,olive,matf,know,where,view,0
,11434,olive,matf,know,where,view,0
,10261,olive,matf,know,where,view,1
,11383,olive,matf,know,where,view,1
EN,11005,olive,matf,know,where,view,0
,10417,olive,matf,know,where,view,0
,3229,olive,matf,know,where,view,1
EN,10969,olive,matf,know,where,view,0
,10753,olive,matf,know,where,view,0
EN,10921,olive,matf,know,where,view,0
,10945,olive,matf,know,where,view,0
,11098,olive,matf,know,where,view,1
EN,10051,olive,matf,know,where,view,1
EN,10063,olive,matf,know,where,view,1
EN,11014,olive,matf,know,where,view,0
,11275,olive,matf,know,where,view,0
EN,10660,olive,matf,know,where,view,1
EN,10933,olive,matf,know,where,view,1
EN,11518,olive,matf,know,where,view,1
EN,10570,olive,matf,know,where,view,0
EN,11068,olive,matf,know,where,view,0
EN,10987,olive,matf,know,where,view,1
EN,10297,olive,matf,know,where,view,0
EN,10960,olive,matf,know,where,view,0
EN,10078,olive,matf,know,where,view,0
EN,10402,olive,matf,know,where,view,0
,10540,olive,matf,know,where,bury,0
,11434,olive,matf,know,where,bury,0
,10261,olive,matf,know,where,bury,0
,11383,olive,matf,know,where,bury,1
EN,11005,olive,matf,know,where,bury,0
,10417,olive,matf,know,where,bury,0
,3229,olive,matf,know,where,bury,1
EN,10969,olive,matf,know,where,bury,0
,10753,olive,matf,know,where,bury,0
EN,10921,olive,matf,know,where,bury,0
,10945,olive,matf,know,where,bury,0
,11098,olive,matf,know,where,bury,0
EN,10051,olive,matf,know,where,bury,0
EN,10063,olive,matf,know,where,bury,1
EN,11014,olive,matf,know,where,bury,0
,11275,olive,matf,know,where,bury,1
EN,10660,olive,matf,know,where,bury,1
EN,10933,olive,matf,know,where,bury,0
EN,11518,olive,matf,know,where,bury,1
EN,10570,olive,matf,know,where,bury,1
EN,11068,olive,matf,know,where,bury,0
EN,10987,olive,matf,know,where,bury,1
EN,10297,olive,matf,know,where,bury,0
EN,10960,olive,matf,know,where,bury,0
EN,10078,olive,matf,know,where,bury,0
EN,10402,olive,matf,know,where,bury,1
,11410,magenta,matf,know,where,locate,0
EN,10495,magenta,matf,know,where,locate,1
EN,10327,magenta,matf,know,where,locate,0
EN,10762,magenta,matf,know,where,locate,0
EN,11101,magenta,matf,know,where,locate,0
,11299,magenta,matf,know,where,locate,1
EN,11821,magenta,matf,know,where,locate,0
,11290,magenta,matf,know,where,locate,1
,11254,magenta,matf,know,where,locate,0
,11491,magenta,matf,know,where,locate,0
EN,10942,magenta,matf,know,where,locate,0
,11284,magenta,matf,know,where,locate,0
,11479,magenta,matf,know,where,locate,1
EN,12001,magenta,matf,know,where,locate,1
EN,10567,magenta,matf,know,where,locate,1
,11593,magenta,matf,know,where,locate,1
,11893,magenta,matf,know,where,locate,0
,10387,magenta,matf,know,where,locate,1
EN,11887,magenta,matf,know,where,locate,0
EN,11839,magenta,matf,know,where,locate,1
,11326,magenta,matf,know,where,locate,1
,10030,magenta,matf,know,where,locate,1
,10486,magenta,matf,know,where,locate,1
EN,10984,magenta,matf,know,where,locate,0
,11437,magenta,matf,know,where,locate,0
EN,10576,magenta,matf,know,where,locate,0
,11410,magenta,matf,know,where,display,0
EN,10495,magenta,matf,know,where,display,1
EN,10327,magenta,matf,know,where,display,0
EN,10762,magenta,matf,know,where,display,0
EN,11101,magenta,matf,know,where,display,1
,11299,magenta,matf,know,where,display,1
EN,11821,magenta,matf,know,where,display,0
,11290,magenta,matf,know,where,display,1
,11254,magenta,matf,know,where,display,0
,11491,magenta,matf,know,where,display,0
EN,10942,magenta,matf,know,where,display,0
,11284,magenta,matf,know,where,display,0
,11479,magenta,matf,know,where,display,0
EN,12001,magenta,matf,know,where,display,1
EN,10567,magenta,matf,know,where,display,1
,11593,magenta,matf,know,where,display,1
,11893,magenta,matf,know,where,display,0
,10387,magenta,matf,know,where,display,1
EN,11887,magenta,matf,know,where,display,0
EN,11839,magenta,matf,know,where,display,1
,11326,magenta,matf,know,where,display,1
,10030,magenta,matf,know,where,display,1
,10486,magenta,matf,know,where,display,1
EN,10984,magenta,matf,know,where,display,0
,11437,magenta,matf,know,where,display,1
EN,10576,magenta,matf,know,where,display,0
,10540,olive,mst,know,where,store,0
,11434,olive,mst,know,where,store,1
,10261,olive,mst,know,where,store,1
,11383,olive,mst,know,where,store,1
EN,11005,olive,mst,know,where,store,0
,10417,olive,mst,know,where,store,0
,3229,olive,mst,know,where,store,1
EN,10969,olive,mst,know,where,store,1
,10753,olive,mst,know,where,store,1
EN,10921,olive,mst,know,where,store,1
,10945,olive,mst,know,where,store,1
,11098,olive,mst,know,where,store,1
EN,10051,olive,mst,know,where,store,1
EN,10063,olive,mst,know,where,store,0
EN,11014,olive,mst,know,where,store,1
,11275,olive,mst,know,where,store,0
EN,10660,olive,mst,know,where,store,0
EN,10933,olive,mst,know,where,store,1
EN,11518,olive,mst,know,where,store,1
EN,10570,olive,mst,know,where,store,1
EN,11068,olive,mst,know,where,store,1
EN,10987,olive,mst,know,where,store,1
EN,10297,olive,mst,know,where,store,1
EN,10960,olive,mst,know,where,store,0
EN,10078,olive,mst,know,where,store,0
EN,10402,olive,mst,know,where,store,1
,10540,olive,mst,know,where,sell,0
,11434,olive,mst,know,where,sell,0
,10261,olive,mst,know,where,sell,1
,11383,olive,mst,know,where,sell,1
EN,11005,olive,mst,know,where,sell,0
,10417,olive,mst,know,where,sell,0
,3229,olive,mst,know,where,sell,0
EN,10969,olive,mst,know,where,sell,1
,10753,olive,mst,know,where,sell,0
EN,10921,olive,mst,know,where,sell,0
,10945,olive,mst,know,where,sell,0
,11098,olive,mst,know,where,sell,1
EN,10051,olive,mst,know,where,sell,1
EN,10063,olive,mst,know,where,sell,0
EN,11014,olive,mst,know,where,sell,0
,11275,olive,mst,know,where,sell,0
EN,10660,olive,mst,know,where,sell,1
EN,10933,olive,mst,know,where,sell,1
EN,11518,olive,mst,know,where,sell,1
EN,10570,olive,mst,know,where,sell,0
EN,11068,olive,mst,know,where,sell,0
EN,10987,olive,mst,know,where,sell,0
EN,10297,olive,mst,know,where,sell,0
EN,10960,olive,mst,know,where,sell,1
EN,10078,olive,mst,know,where,sell,0
EN,10402,olive,mst,know,where,sell,0
,11410,magenta,mst,know,where,find,1
EN,10495,magenta,mst,know,where,find,1
EN,10327,magenta,mst,know,where,find,1
EN,10762,magenta,mst,know,where,find,0
EN,11101,magenta,mst,know,where,find,0
,11299,magenta,mst,know,where,find,0
EN,11821,magenta,mst,know,where,find,0
,11290,magenta,mst,know,where,find,1
,11254,magenta,mst,know,where,find,0
,11491,magenta,mst,know,where,find,0
EN,10942,magenta,mst,know,where,find,0
,11284,magenta,mst,know,where,find,1
,11479,magenta,mst,know,where,find,1
EN,12001,magenta,mst,know,where,find,0
EN,10567,magenta,mst,know,where,find,0
,11593,magenta,mst,know,where,find,1
,11893,magenta,mst,know,where,find,0
,10387,magenta,mst,know,where,find,0
EN,11887,magenta,mst,know,where,find,1
EN,11839,magenta,mst,know,where,find,0
,11326,magenta,mst,know,where,find,1
,10030,magenta,mst,know,where,find,1
,10486,magenta,mst,know,where,find,0
EN,10984,magenta,mst,know,where,find,1
,11437,magenta,mst,know,where,find,1
EN,10576,magenta,mst,know,where,find,0
,11410,magenta,mst,know,where,hide,1
EN,10495,magenta,mst,know,where,hide,1
EN,10327,magenta,mst,know,where,hide,1
EN,10762,magenta,mst,know,where,hide,1
EN,11101,magenta,mst,know,where,hide,0
,11299,magenta,mst,know,where,hide,1
EN,11821,magenta,mst,know,where,hide,0
,11290,magenta,mst,know,where,hide,1
,11254,magenta,mst,know,where,hide,1
,11491,magenta,mst,know,where,hide,1
EN,10942,magenta,mst,know,where,hide,0
,11284,magenta,mst,know,where,hide,1
,11479,magenta,mst,know,where,hide,1
EN,12001,magenta,mst,know,where,hide,1
EN,10567,magenta,mst,know,where,hide,0
,11593,magenta,mst,know,where,hide,1
,11893,magenta,mst,know,where,hide,0
,10387,magenta,mst,know,where,hide,1
EN,11887,magenta,mst,know,where,hide,1
EN,11839,magenta,mst,know,where,hide,1
,11326,magenta,mst,know,where,hide,1
,10030,magenta,mst,know,where,hide,1
,10486,magenta,mst,know,where,hide,0
EN,10984,magenta,mst,know,where,hide,1
,11437,magenta,mst,know,where,hide,0
EN,10576,magenta,mst,know,where,hide,1
,10540,olive,maf,predict,where,view,0
,11434,olive,maf,predict,where,view,0
,10261,olive,maf,predict,where,view,0
,11383,olive,maf,predict,where,view,0
EN,11005,olive,maf,predict,where,view,0
,10417,olive,maf,predict,where,view,1
,3229,olive,maf,predict,where,view,1
EN,10969,olive,maf,predict,where,view,0
,10753,olive,maf,predict,where,view,1
EN,10921,olive,maf,predict,where,view,0
,10945,olive,maf,predict,where,view,1
,11098,olive,maf,predict,where,view,0
EN,10051,olive,maf,predict,where,view,0
EN,10063,olive,maf,predict,where,view,1
EN,11014,olive,maf,predict,where,view,0
,11275,olive,maf,predict,where,view,0
EN,10660,olive,maf,predict,where,view,0
EN,10933,olive,maf,predict,where,view,0
EN,11518,olive,maf,predict,where,view,0
EN,10570,olive,maf,predict,where,view,0
EN,11068,olive,maf,predict,where,view,0
EN,10987,olive,maf,predict,where,view,0
EN,10297,olive,maf,predict,where,view,1
EN,10960,olive,maf,predict,where,view,0
EN,10078,olive,maf,predict,where,view,0
EN,10402,olive,maf,predict,where,view,0
,10540,olive,maf,predict,where,bury,0
,11434,olive,maf,predict,where,bury,0
,10261,olive,maf,predict,where,bury,1
,11383,olive,maf,predict,where,bury,0
EN,11005,olive,maf,predict,where,bury,0
,10417,olive,maf,predict,where,bury,1
,3229,olive,maf,predict,where,bury,0
EN,10969,olive,maf,predict,where,bury,0
,10753,olive,maf,predict,where,bury,1
EN,10921,olive,maf,predict,where,bury,0
,10945,olive,maf,predict,where,bury,1
,11098,olive,maf,predict,where,bury,0
EN,10051,olive,maf,predict,where,bury,0
EN,10063,olive,maf,predict,where,bury,0
EN,11014,olive,maf,predict,where,bury,1
,11275,olive,maf,predict,where,bury,0
EN,10660,olive,maf,predict,where,bury,0
EN,10933,olive,maf,predict,where,bury,0
EN,11518,olive,maf,predict,where,bury,0
EN,10570,olive,maf,predict,where,bury,0
EN,11068,olive,maf,predict,where,bury,0
EN,10987,olive,maf,predict,where,bury,0
EN,10297,olive,maf,predict,where,bury,1
EN,10960,olive,maf,predict,where,bury,0
EN,10078,olive,maf,predict,where,bury,0
EN,10402,olive,maf,predict,where,bury,1
,11410,magenta,maf,predict,where,locate,0
EN,10495,magenta,maf,predict,where,locate,0
EN,10327,magenta,maf,predict,where,locate,0
EN,10762,magenta,maf,predict,where,locate,1
EN,11101,magenta,maf,predict,where,locate,1
,11299,magenta,maf,predict,where,locate,0
EN,11821,magenta,maf,predict,where,locate,0
,11290,magenta,maf,predict,where,locate,0
,11254,magenta,maf,predict,where,locate,0
,11491,magenta,maf,predict,where,locate,0
EN,10942,magenta,maf,predict,where,locate,0
,11284,magenta,maf,predict,where,locate,0
,11479,magenta,maf,predict,where,locate,0
EN,12001,magenta,maf,predict,where,locate,0
EN,10567,magenta,maf,predict,where,locate,0
,11593,magenta,maf,predict,where,locate,0
,11893,magenta,maf,predict,where,locate,0
,10387,magenta,maf,predict,where,locate,0
EN,11887,magenta,maf,predict,where,locate,0
EN,11839,magenta,maf,predict,where,locate,0
,11326,magenta,maf,predict,where,locate,0
,10030,magenta,maf,predict,where,locate,0
,10486,magenta,maf,predict,where,locate,0
EN,10984,magenta,maf,predict,where,locate,0
,11437,magenta,maf,predict,where,locate,0
EN,10576,magenta,maf,predict,where,locate,0
,11410,magenta,maf,predict,where,display,0
EN,10495,magenta,maf,predict,where,display,0
EN,10327,magenta,maf,predict,where,display,0
EN,10762,magenta,maf,predict,where,display,1
EN,11101,magenta,maf,predict,where,display,1
,11299,magenta,maf,predict,where,display,0
EN,11821,magenta,maf,predict,where,display,0
,11290,magenta,maf,predict,where,display,0
,11254,magenta,maf,predict,where,display,0
,11491,magenta,maf,predict,where,display,0
EN,10942,magenta,maf,predict,where,display,1
,11284,magenta,maf,predict,where,display,0
,11479,magenta,maf,predict,where,display,0
EN,12001,magenta,maf,predict,where,display,0
EN,10567,magenta,maf,predict,where,display,0
,11593,magenta,maf,predict,where,display,0
,11893,magenta,maf,predict,where,display,0
,10387,magenta,maf,predict,where,display,1
EN,11887,magenta,maf,predict,where,display,0
EN,11839,magenta,maf,predict,where,display,0
,11326,magenta,maf,predict,where,display,0
,10030,magenta,maf,predict,where,display,1
,10486,magenta,maf,predict,where,display,0
EN,10984,magenta,maf,predict,where,display,0
,11437,magenta,maf,predict,where,display,0
EN,10576,magenta,maf,predict,where,display,0
,10540,olive,mat,predict,where,find,1
,11434,olive,mat,predict,where,find,1
,10261,olive,mat,predict,where,find,1
,11383,olive,mat,predict,where,find,1
EN,11005,olive,mat,predict,where,find,1
,10417,olive,mat,predict,where,find,1
,3229,olive,mat,predict,where,find,1
EN,10969,olive,mat,predict,where,find,1
,10753,olive,mat,predict,where,find,1
EN,10921,olive,mat,predict,where,find,1
,10945,olive,mat,predict,where,find,1
,11098,olive,mat,predict,where,find,1
EN,10051,olive,mat,predict,where,find,1
EN,10063,olive,mat,predict,where,find,1
EN,11014,olive,mat,predict,where,find,1
,11275,olive,mat,predict,where,find,1
EN,10660,olive,mat,predict,where,find,1
EN,10933,olive,mat,predict,where,find,1
EN,11518,olive,mat,predict,where,find,1
EN,10570,olive,mat,predict,where,find,1
EN,11068,olive,mat,predict,where,find,1
EN,10987,olive,mat,predict,where,find,1
EN,10297,olive,mat,predict,where,find,1
EN,10960,olive,mat,predict,where,find,1
EN,10078,olive,mat,predict,where,find,1
EN,10402,olive,mat,predict,where,find,1
,10540,olive,mat,predict,where,hide,1
,11434,olive,mat,predict,where,hide,1
,10261,olive,mat,predict,where,hide,1
,11383,olive,mat,predict,where,hide,1
EN,11005,olive,mat,predict,where,hide,1
,10417,olive,mat,predict,where,hide,1
,3229,olive,mat,predict,where,hide,1
EN,10969,olive,mat,predict,where,hide,1
,10753,olive,mat,predict,where,hide,1
EN,10921,olive,mat,predict,where,hide,1
,10945,olive,mat,predict,where,hide,1
,11098,olive,mat,predict,where,hide,1
EN,10051,olive,mat,predict,where,hide,1
EN,10063,olive,mat,predict,where,hide,1
EN,11014,olive,mat,predict,where,hide,1
,11275,olive,mat,predict,where,hide,1
EN,10660,olive,mat,predict,where,hide,1
EN,10933,olive,mat,predict,where,hide,1
EN,11518,olive,mat,predict,where,hide,1
EN,10570,olive,mat,predict,where,hide,1
EN,11068,olive,mat,predict,where,hide,1
EN,10987,olive,mat,predict,where,hide,1
EN,10297,olive,mat,predict,where,hide,1
EN,10960,olive,mat,predict,where,hide,1
EN,10078,olive,mat,predict,where,hide,1
EN,10402,olive,mat,predict,where,hide,1
,11410,magenta,mat,predict,where,store,1
EN,10495,magenta,mat,predict,where,store,1
EN,10327,magenta,mat,predict,where,store,1
EN,10762,magenta,mat,predict,where,store,1
EN,11101,magenta,mat,predict,where,store,1
,11299,magenta,mat,predict,where,store,1
EN,11821,magenta,mat,predict,where,store,1
,11290,magenta,mat,predict,where,store,1
,11254,magenta,mat,predict,where,store,1
,11491,magenta,mat,predict,where,store,1
EN,10942,magenta,mat,predict,where,store,1
,11284,magenta,mat,predict,where,store,1
,11479,magenta,mat,predict,where,store,1
EN,12001,magenta,mat,predict,where,store,1
EN,10567,magenta,mat,predict,where,store,1
,11593,magenta,mat,predict,where,store,1
,11893,magenta,mat,predict,where,store,1
,10387,magenta,mat,predict,where,store,0
EN,11887,magenta,mat,predict,where,store,1
EN,11839,magenta,mat,predict,where,store,1
,11326,magenta,mat,predict,where,store,1
,10030,magenta,mat,predict,where,store,1
,10486,magenta,mat,predict,where,store,1
EN,10984,magenta,mat,predict,where,store,1
,11437,magenta,mat,predict,where,store,1
EN,10576,magenta,mat,predict,where,store,1
,11410,magenta,mat,predict,where,sell,0
EN,10495,magenta,mat,predict,where,sell,1
EN,10327,magenta,mat,predict,where,sell,1
EN,10762,magenta,mat,predict,where,sell,0
EN,11101,magenta,mat,predict,where,sell,1
,11299,magenta,mat,predict,where,sell,1
EN,11821,magenta,mat,predict,where,sell,1
,11290,magenta,mat,predict,where,sell,1
,11254,magenta,mat,predict,where,sell,1
,11491,magenta,mat,predict,where,sell,0
EN,10942,magenta,mat,predict,where,sell,1
,11284,magenta,mat,predict,where,sell,1
,11479,magenta,mat,predict,where,sell,0
EN,12001,magenta,mat,predict,where,sell,1
EN,10567,magenta,mat,predict,where,sell,0
,11593,magenta,mat,predict,where,sell,0
,11893,magenta,mat,predict,where,sell,1
,10387,magenta,mat,predict,where,sell,0
EN,11887,magenta,mat,predict,where,sell,1
EN,11839,magenta,mat,predict,where,sell,1
,11326,magenta,mat,predict,where,sell,1
,10030,magenta,mat,predict,where,sell,0
,10486,magenta,mat,predict,where,sell,1
EN,10984,magenta,mat,predict,where,sell,1
,11437,magenta,mat,predict,where,sell,0
EN,10576,magenta,mat,predict,where,sell,0
,10540,olive,matf,predict,where,store,0
,11434,olive,matf,predict,where,store,0
,10261,olive,matf,predict,where,store,1
,11383,olive,matf,predict,where,store,1
EN,11005,olive,matf,predict,where,store,1
,10417,olive,matf,predict,where,store,1
,3229,olive,matf,predict,where,store,0
EN,10969,olive,matf,predict,where,store,0
,10753,olive,matf,predict,where,store,1
EN,10921,olive,matf,predict,where,store,0
,10945,olive,matf,predict,where,store,1
,11098,olive,matf,predict,where,store,1
EN,10051,olive,matf,predict,where,store,0
EN,10063,olive,matf,predict,where,store,0
EN,11014,olive,matf,predict,where,store,1
,11275,olive,matf,predict,where,store,0
EN,10660,olive,matf,predict,where,store,1
EN,10933,olive,matf,predict,where,store,1
EN,11518,olive,matf,predict,where,store,1
EN,10570,olive,matf,predict,where,store,1
EN,11068,olive,matf,predict,where,store,0
EN,10987,olive,matf,predict,where,store,1
EN,10297,olive,matf,predict,where,store,1
EN,10960,olive,matf,predict,where,store,1
EN,10078,olive,matf,predict,where,store,0
EN,10402,olive,matf,predict,where,store,0
,10540,olive,matf,predict,where,sell,0
,11434,olive,matf,predict,where,sell,0
,10261,olive,matf,predict,where,sell,1
,11383,olive,matf,predict,where,sell,1
EN,11005,olive,matf,predict,where,sell,1
,10417,olive,matf,predict,where,sell,1
,3229,olive,matf,predict,where,sell,1
EN,10969,olive,matf,predict,where,sell,0
,10753,olive,matf,predict,where,sell,0
EN,10921,olive,matf,predict,where,sell,0
,10945,olive,matf,predict,where,sell,1
,11098,olive,matf,predict,where,sell,1
EN,10051,olive,matf,predict,where,sell,0
EN,10063,olive,matf,predict,where,sell,0
EN,11014,olive,matf,predict,where,sell,1
,11275,olive,matf,predict,where,sell,1
EN,10660,olive,matf,predict,where,sell,1
EN,10933,olive,matf,predict,where,sell,1
EN,11518,olive,matf,predict,where,sell,1
EN,10570,olive,matf,predict,where,sell,1
EN,11068,olive,matf,predict,where,sell,0
EN,10987,olive,matf,predict,where,sell,1
EN,10297,olive,matf,predict,where,sell,1
EN,10960,olive,matf,predict,where,sell,1
EN,10078,olive,matf,predict,where,sell,0
EN,10402,olive,matf,predict,where,sell,1
,11410,magenta,matf,predict,where,find,0
EN,10495,magenta,matf,predict,where,find,1
EN,10327,magenta,matf,predict,where,find,0
EN,10762,magenta,matf,predict,where,find,1
EN,11101,magenta,matf,predict,where,find,0
,11299,magenta,matf,predict,where,find,1
EN,11821,magenta,matf,predict,where,find,0
